Wall time,Step,Value
1601193560.6203718,5455,-213.696533203125
1601193691.362494,5480,-218.63241577148438
1601193706.0955956,5483,-185.00637817382812
1601193768.2131035,5495,-141.59304809570312
1601193803.8095415,5502,-120.3770523071289
1601193875.59228,5516,-85.53742980957031
1601193912.5175858,5523,-82.41844940185547
1601193960.7798402,5532,-9.298752784729004
1601194037.9016411,5547,-187.3513946533203
1601194111.9129646,5561,-100.8820571899414
1601194157.739616,5570,-186.2630157470703
1601194173.7077248,5573,-63.70466995239258
1601194291.1583276,5596,-101.46488952636719
1601194317.4172342,5601,-180.48622131347656
1601194379.7966712,5613,-212.03665161132812
1601194442.3032627,5625,-132.54571533203125
1601194534.919235,5643,-116.4866943359375
1601194560.2524323,5648,-113.20541381835938
1601194571.0854042,5650,-177.26380920410156
1601194597.8663418,5655,-178.05963134765625
1601194634.3527434,5662,-227.6918487548828
1601194726.7181542,5680,-206.66317749023438
1601194757.6625776,5686,-160.61148071289062
1601194835.9459896,5701,-73.17485809326172
1601195064.3650272,5745,-152.14794921875
1601195084.4342246,5749,-145.8112030029297
1601195136.48392,5759,-170.48928833007812
1601195162.724127,5764,-60.01021957397461
1601195209.4295855,5773,-119.28636932373047
1601195245.4687214,5780,-136.02003479003906
1601195479.563322,5825,-93.7660903930664
1601195536.032692,5836,-118.91567993164062
1601195733.9387665,5874,-82.54132080078125
1601195778.9169846,5883,-93.35237121582031
1601195798.94599,5887,-81.35391998291016
1601195850.6765318,5897,-55.30597686767578
1601195912.9486713,5909,-77.7223892211914
1601196058.731876,5937,-49.86526870727539
1601196107.0924032,5946,-61.79072952270508
1601196151.4307914,5955,-115.26625061035156
1601196513.6829305,6026,-92.91765594482422
1601196777.4722893,6078,-109.12137603759766
1601196834.0547364,6089,-170.2681121826172
1601196865.7242107,6095,-101.10365295410156
1601196958.7275014,6113,-59.38649368286133
1601197000.5602918,6121,-28.14082908630371
1601197124.3169217,6145,-86.41349792480469
1601197181.5858123,6156,-74.81578826904297
1601197212.6410842,6162,-225.8699188232422
1601197337.645329,6186,-159.296875
1601197368.6189609,6192,-134.14804077148438
1601197373.67157,6193,-93.25341033935547
1601197384.290036,6195,-60.29186248779297
1601197400.5103407,6198,-247.86541748046875
1601197436.1037183,6205,-100.50859832763672
1601197456.5239236,6209,-123.22266387939453
1601197467.2090375,6211,-189.17593383789062
1601197491.9000645,6216,-117.78504180908203
1601197569.237158,6231,-182.10281372070312
1601197589.5195346,6235,-125.68880462646484
1601197747.3741026,6266,-84.98722839355469
1601197909.3715584,6297,-126.0589599609375
1601198050.888112,6324,-157.55636596679688
1601198072.320383,6328,-185.51568603515625
1601198087.2934093,6331,-160.39637756347656
1601198092.3104358,6332,-102.15843200683594
1601198097.3316276,6333,-55.32156753540039
1601198144.5492237,6342,-180.30067443847656
1601198181.6994596,6349,-156.94798278808594
1601198208.5031521,6354,-154.3274688720703
1601198239.0125244,6360,-147.35279846191406
1601198394.0038252,6390,-180.90647888183594
1601198786.7998388,6466,-128.28628540039062
1601198858.527367,6480,-202.48837280273438
1601198973.1782277,6502,-110.53555297851562
1601199014.4341128,6510,-107.02122497558594
1601199101.1799684,6527,-187.45761108398438
1601199131.6018496,6533,-124.83454895019531
1601199172.3420365,6541,-128.38067626953125
1601199263.5818734,6559,-119.08393096923828
1601199335.2526615,6573,-204.5193328857422
1601199464.7600665,6598,-148.7753448486328
1601199469.790848,6599,-126.4943618774414
1601199595.0833676,6623,-127.05004119873047
1601199630.3913167,6630,-103.82518005371094
1601199906.5257044,6683,-55.64523696899414
1601200093.0125072,6719,-123.86404418945312
1601200347.862948,6768,-95.45919799804688
1601200400.2479453,6778,-155.2354736328125
1601200898.4981868,6874,-25.277202606201172
1601200903.9346416,6875,-169.4219512939453
1601200909.3723207,6876,-153.59812927246094
1601201039.454525,6901,-126.5516128540039
1601201081.213358,6909,-51.78129196166992
1601201096.2372775,6912,-146.1317138671875
1601201274.7440064,6947,-98.1538314819336
1601201325.1226397,6957,-56.080116271972656
1601201344.7970362,6961,-152.4276123046875
1601201387.904749,6969,-124.17220306396484
1601201399.258339,6971,-194.4206085205078
1601201543.8941789,6999,-147.51170349121094
1601201548.8470044,7000,-113.01190185546875
1601201595.748813,7009,-98.44206237792969
1601201606.352877,7011,-199.592041015625
1601201643.3079906,7018,-43.1877555847168
1601201663.8939664,7022,-80.4501953125
1601201904.3667061,7068,-140.00856018066406
1601201971.00896,7081,-131.6594696044922
1601201985.9081566,7084,-142.27731323242188
1601201996.334581,7086,-164.4895782470703
1601202074.917347,7101,-148.85751342773438
1601202084.9768987,7103,-160.5182647705078
1601202110.449383,7108,-172.83712768554688
1601202151.3102472,7116,-89.74871826171875
1601202182.1051638,7122,-190.39968872070312
1601202497.5604503,7183,-136.6605224609375
1601202555.6008542,7194,-105.10662078857422
1601202581.5170882,7199,-4.488608360290527
1601202586.5394523,7200,-186.68907165527344
1601202715.5799472,7225,-105.3711929321289
1601202736.728894,7229,-190.35789489746094
1601202753.2220154,7232,-599.795654296875
1601202758.172006,7233,-168.8963165283203
1601202949.7690914,7270,-160.3690185546875
1601203157.7727926,7310,-137.62161254882812
1601203284.3528597,7334,-78.55270385742188
1601203301.5926664,7337,-427.1591491699219
1601203347.9285297,7346,26.38704490661621
1601203363.4404187,7349,-127.6925048828125
1601203368.965169,7350,-126.18205261230469
1601203473.4167225,7370,-145.40895080566406
1601203489.022857,7373,-216.10293579101562
1601203504.0084567,7376,-116.95420837402344
1601203524.7756305,7380,-47.7298583984375
1601203709.812024,7415,-124.10955810546875
